Dose (µg/L),Replicate,Alive,Dead,Total Dead (to date),Deformities,Total Deform (to date),Hatched,Notes,Survival Rate,Deformity Rate,Hatch Rate
1000,A,16,0,4,0,0,16,,0.8,0,1
1000,B,13,0,7,0,0,13,,0.65,0,1
1000,C,19,0,1,0,0,19,,0.95,0,1
100,A,18,0,2,0,0,18,,0.9,0,1
100,B,17,0,3,0,0,17,,0.85,0,1
100,C,18,0,2,0,0,18,,0.9,0,1
10,A,18,0,2,1,1,18,"No Tail, Large inflated thorax",0.9,0.05,1
10,B,17,0,3,0,0,17,,0.85,0,1
10,C,18,0,2,0,0,18,,0.9,0,1
1,A,18,0,2,0,0,18,,0.9,0,1
1,B,18,0,2,0,0,18,,0.9,0,1
1,C,18,0,2,0,0,18,,0.9,0,1
0.1,A,19,0,1,0,0,19,,0.95,0,1
0.1,B,18,0,2,0,0,18,,0.9,0,1
0.1,C,16,0,4,0,0,16,,0.8,0,1
0,A,15,0,5,0,0,15,,0.75,0,1
0,B,16,0,4,0,0,16,,0.8,0,1
0,C,17,0,3,0,0,17,,0.85,0,1
