sample,chemical,dose
24_BaP_1.csv,24_BaP,1
24_BaP_2.csv,24_BaP,1
24_BitA_1_1.csv,24_BitA,1
24_BitA_1_2.csv,24_BitA,1
24_BitA_3_1.csv,24_BitA,3
24_BitA_3_2.csv,24_BitA,3
24_BitA_7_1.csv,24_BitA,7
24_BitA_7_2.csv,24_BitA,7
24_BitA_14_1.csv,24_BitA,14
24_BitA_14_2.csv,24_BitA,14
24_BitA_28_1.csv,24_BitA,28
24_BitA_28_2.csv,24_BitA,28
24_BitA_57 _1.csv,24_BitA,57
24_BitA_57 _2.csv,24_BitA,57
24_BitB_2_1.csv,24_BitB,2
24_BitB_2_2.csv,24_BitB,2
24_BitB_5_1.csv,24_BitB,5
24_BitB_5_2.csv,24_BitB,5
24_BitB_10_1.csv,24_BitB,10
24_BitB_10_2.csv,24_BitB,10
24_BitB_20_1.csv,24_BitB,20
24_BitB_20_2.csv,24_BitB,20
24_BitB_41_1.csv,24_BitB,41
24_BitB_41_2.csv,24_BitB,41
24_BitB_82_1.csv,24_BitB,82
24_BitB_82_2.csv,24_BitB,82
24_BitC_1_1.csv,24_BitC,1
24_BitC_1_2.csv,24_BitC,1
24_BitC_3_1.csv,24_BitC,3
24_BitC_3_2.csv,24_BitC,3
24_BitC_6_1.csv,24_BitC,6
24_BitC_6_2.csv,24_BitC,6
24_BitC_12_1.csv,24_BitC,12
24_BitC_12_2.csv,24_BitC,12
24_BitC_24_1.csv,24_BitC,24
24_BitC_24_2.csv,24_BitC,24
24_BitC_45_1.csv,24_BitC,45
24_BitC_45_2.csv,24_BitC,45
24_DMSO_1.csv,24_DMSO,0
24_DMSO_2.csv,24_DMSO,0
24_MB_1.csv,24_MB,1
24_MB_2.csv,24_MB,1
24_NIST_1.csv,24_NIST,1
24_NIST_2.csv,24_NIST,1
BaP_1.csv,BaP,1
BaP_2.csv,BaP,1
BitA_1_1.csv,BitA,1
BitA_1_2.csv,BitA,1
BitA_3_1.csv,BitA,3
BitA_3_2.csv,BitA,3
BitA_7_1.csv,BitA,7
BitA_7_2.csv,BitA,7
BitA_14_1.csv,BitA,14
BitA_14_2.csv,BitA,14
BitA_28_1.csv,BitA,28
BitA_28_2.csv,BitA,28
BitA_57 _1.csv,BitA,57
BitA_57 _2.csv,BitA,57
BitB_2_1.csv,BitB,2
BitB_2_2.csv,BitB,2
BitB_5_1.csv,BitB,5
BitB_5_2.csv,BitB,5
BitB_10_1.csv,BitB,10
BitB_10_2.csv,BitB,10
BitB_20_1.csv,BitB,20
BitB_20_2.csv,BitB,20
BitB_41_1.csv,BitB,41
BitB_41_2.csv,BitB,41
BitB_82_1.csv,BitB,82
BitB_82_2.csv,BitB,82
BitC_1_1.csv,BitC,1
BitC_1_2.csv,BitC,1
BitC_3_1.csv,BitC,3
BitC_3_2.csv,BitC,3
BitC_6_1.csv,BitC,6
BitC_6_2.csv,BitC,6
BitC_12_1.csv,BitC,12
BitC_12_2.csv,BitC,12
BitC_24_1.csv,BitC,24
BitC_24_2.csv,BitC,24
BitC_45_1.csv,BitC,45
BitC_45_2.csv,BitC,45
DMSO _1.csv,DMSO,0
DMSO_2.csv,DMSO,0
MB_1.csv,MB,1
MB_2.csv,MB,1
NIST_1.csv,NIST,1
NIST_2.csv,NIST,1
