Dose (mg/L),Replicate,Dose,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
1,A,Dose_1,17,17,0,0.85,0,0.85,0.15
1,B,Dose_1,19,19,1,0.95,0.05,0.95,0.1
1,C,Dose_1,19,19,0,0.95,0,0.95,0.05
0.1,A,Dose_2,18,18,0,0.9,0,0.9,0.1
0.1,B,Dose_2,20,20,0,1,0,1,0
0.1,C,Dose_2,20,20,0,1,0,1,0
0.01,A,Dose_3,19,19,0,0.95,0,0.95,0.05
0.01,B,Dose_3,19,19,0,0.95,0,0.95,0.05
0.01,C,Dose_3,19,19,0,0.95,0,0.95,0.05
0.001,A,Dose_4,19,19,0,0.95,0,0.95,0.05
0.001,B,Dose_4,18,18,0,0.9,0,0.9,0.1
0.001,C,Dose_4,19,19,0,0.95,0,0.95,0.05
0.0001,A,Dose_5,20,20,0,1,0,1,0
0.0001,B,Dose_5,19,19,0,0.95,0,0.95,0.05
0.0001,C,Dose_5,17,17,0,0.85,0,0.85,0.15
0,A,Control,19,19,0,0.95,0,0.95,0.05
0,B,Control,19,19,0,0.95,0,0.95,0.05
0,C,Control,17,17,0,0.85,0,0.85,0.15
